[2023-08-22 11:30:27:462][main] INFO  FIS.iLUVit.ILuVitApplication - Starting ILuVitApplication using Java 17.0.5 on iyunaui-MacBookAir.local with PID 51585 (/Users/iyuna/IdeaProjects/ILUVIT_BACK/build/classes/java/main started by iyuna in /Users/iyuna/IdeaProjects/ILUVIT_BACK)
[2023-08-22 11:30:27:464][main] INFO  FIS.iLUVit.ILuVitApplication - The following 7 profiles are active: "secret", "s3", "map", "security", "http", "auth", "prod"
[2023-08-22 11:30:31:4723][main] INFO  FIS.iLUVit.ILuVitApplication - Started ILuVitApplication in 4.631 seconds (JVM running for 5.122)
[2023-08-22 11:30:52:25973][http-nio-8081-exec-1] INFO  FIS.iLUVit.aspect.trace.Trace - [UUID: 18b71b98-4608-4b5, user: null, request: /child/463 method: GET] |--> Optional org.springframework.data.repository.CrudRepository.findById(Object)
[2023-08-22 11:30:52:26080][http-nio-8081-exec-1] INFO  FIS.iLUVit.aspect.trace.Trace - [UUID: 18b71b98-4608-4b5, user: null, request: /child/463 method: GET] |<--Optional org.springframework.data.repository.CrudRepository.findById(Object) time = 107ms
[2023-08-22 11:30:52:26080][http-nio-8081-exec-1] WARN  F.i.security.JwtAuthorizationFilter - [JwtAuthorizationFilter] token 파싱 실패 : 유효하지 않은 토큰입니다.
[2023-08-22 11:31:21:281][main] INFO  FIS.iLUVit.ILuVitApplication - Starting ILuVitApplication using Java 17.0.5 on iyunaui-MacBookAir.local with PID 51622 (/Users/iyuna/IdeaProjects/ILUVIT_BACK/build/classes/java/main started by iyuna in /Users/iyuna/IdeaProjects/ILUVIT_BACK)
[2023-08-22 11:31:21:282][main] INFO  FIS.iLUVit.ILuVitApplication - The following 7 profiles are active: "secret", "s3", "map", "security", "http", "auth", "dev"
[2023-08-22 11:31:25:4314][main] INFO  FIS.iLUVit.ILuVitApplication - Started ILuVitApplication in 4.249 seconds (JVM running for 4.515)
[2023-08-22 12:20:48:337][main] INFO  FIS.iLUVit.ILuVitApplication - Starting ILuVitApplication using Java 17.0.5 on iyunaui-MacBookAir.local with PID 53425 (/Users/iyuna/IdeaProjects/ILUVIT_BACK/build/classes/java/main started by iyuna in /Users/iyuna/IdeaProjects/ILUVIT_BACK)
[2023-08-22 12:20:48:338][main] INFO  FIS.iLUVit.ILuVitApplication - The following 7 profiles are active: "secret", "s3", "map", "security", "http", "auth", "prod"
[2023-08-22 12:20:53:4676][main] INFO  FIS.iLUVit.ILuVitApplication - Started ILuVitApplication in 4.611 seconds (JVM running for 4.896)
[2023-08-22 12:20:55:6966][http-nio-8081-exec-1] INFO  FIS.iLUVit.aspect.trace.Trace - [UUID: 4df9c07e-6a42-4d9, user: null, request: /child/463 method: GET] |--> Optional org.springframework.data.repository.CrudRepository.findById(Object)
[2023-08-22 12:20:55:7176][http-nio-8081-exec-1] INFO  FIS.iLUVit.aspect.trace.Trace - [UUID: 4df9c07e-6a42-4d9, user: null, request: /child/463 method: GET] |<--Optional org.springframework.data.repository.CrudRepository.findById(Object) time = 210ms
[2023-08-22 12:20:55:7177][http-nio-8081-exec-1] WARN  F.i.security.JwtAuthorizationFilter - [JwtAuthorizationFilter] token 파싱 실패 : 유효하지 않은 토큰입니다.
[2023-08-22 12:20:58:10339][http-nio-8081-exec-3] INFO  FIS.iLUVit.aspect.trace.Trace - [UUID: e3abdf66-6841-4bd, user: null, request: /child/463 method: GET] |--> Optional org.springframework.data.repository.CrudRepository.findById(Object)
[2023-08-22 12:20:59:10570][http-nio-8081-exec-3] INFO  FIS.iLUVit.aspect.trace.Trace - [UUID: e3abdf66-6841-4bd, user: null, request: /child/463 method: GET] |<--Optional org.springframework.data.repository.CrudRepository.findById(Object) time = 231ms
[2023-08-22 12:20:59:10571][http-nio-8081-exec-3] WARN  F.i.security.JwtAuthorizationFilter - [JwtAuthorizationFilter] token 파싱 실패 : 유효하지 않은 토큰입니다.
[2023-08-22 12:22:28:325][main] INFO  FIS.iLUVit.ILuVitApplication - Starting ILuVitApplication using Java 17.0.5 on iyunaui-MacBookAir.local with PID 53442 (/Users/iyuna/IdeaProjects/ILUVIT_BACK/build/classes/java/main started by iyuna in /Users/iyuna/IdeaProjects/ILUVIT_BACK)
[2023-08-22 12:22:28:326][main] INFO  FIS.iLUVit.ILuVitApplication - The following 7 profiles are active: "secret", "s3", "map", "security", "http", "auth", "prod"
[2023-08-22 12:22:32:4417][main] INFO  FIS.iLUVit.ILuVitApplication - Started ILuVitApplication in 4.33 seconds (JVM running for 4.672)
[2023-08-22 12:22:47:19469][http-nio-8081-exec-2] INFO  FIS.iLUVit.aspect.trace.Trace - [UUID: 1cf6899c-8ac5-43a, user: null, request: /child/463 method: GET] |--> Optional org.springframework.data.repository.CrudRepository.findById(Object)
[2023-08-22 12:22:47:19647][http-nio-8081-exec-2] INFO  FIS.iLUVit.aspect.trace.Trace - [UUID: 1cf6899c-8ac5-43a, user: null, request: /child/463 method: GET] |<--Optional org.springframework.data.repository.CrudRepository.findById(Object) time = 178ms
[2023-08-22 12:22:47:19647][http-nio-8081-exec-2] WARN  F.i.security.JwtAuthorizationFilter - [JwtAuthorizationFilter] token 파싱 실패 : 유효하지 않은 토큰입니다.
[2023-08-22 12:25:02:318][main] INFO  FIS.iLUVit.ILuVitApplication - Starting ILuVitApplication using Java 17.0.5 on iyunaui-MacBookAir.local with PID 53544 (/Users/iyuna/IdeaProjects/ILUVIT_BACK/build/classes/java/main started by iyuna in /Users/iyuna/IdeaProjects/ILUVIT_BACK)
[2023-08-22 12:25:02:320][main] INFO  FIS.iLUVit.ILuVitApplication - The following 7 profiles are active: "secret", "s3", "map", "security", "http", "auth", "dev"
[2023-08-22 12:25:06:4512][main] INFO  FIS.iLUVit.ILuVitApplication - Started ILuVitApplication in 4.442 seconds (JVM running for 4.731)
[2023-08-22 12:28:28:271][main] INFO  FIS.iLUVit.ILuVitApplication - Starting ILuVitApplication using Java 17.0.5 on iyunaui-MacBookAir.local with PID 53575 (/Users/iyuna/IdeaProjects/ILUVIT_BACK/build/classes/java/main started by iyuna in /Users/iyuna/IdeaProjects/ILUVIT_BACK)
[2023-08-22 12:28:28:273][main] INFO  FIS.iLUVit.ILuVitApplication - The following 7 profiles are active: "secret", "s3", "map", "security", "http", "auth", "dev"
[2023-08-22 12:28:32:4352][main] INFO  FIS.iLUVit.ILuVitApplication - Started ILuVitApplication in 4.285 seconds (JVM running for 4.58)
[2023-08-22 12:31:10:380][main] INFO  FIS.iLUVit.ILuVitApplication - Starting ILuVitApplication using Java 17.0.5 on iyunaui-MacBookAir.local with PID 53597 (/Users/iyuna/IdeaProjects/ILUVIT_BACK/build/classes/java/main started by iyuna in /Users/iyuna/IdeaProjects/ILUVIT_BACK)
